#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1425.09960       0.1207      -0.0376    1393.84960       0.2989      -0.0844
   1425.08435       0.0641      -0.0626    1393.83435       0.3381      -0.0683
   1425.06909       0.1759      -0.0696    1393.81909       0.3264      -0.0341
   1425.05383       0.1603      -0.0241    1393.80383       0.2709      -0.0487
   1425.03857       0.1766      -0.0455    1393.78857       0.2905      -0.0472
   1425.02331       0.0799      -0.0429    1393.77331       0.3481      -0.0934
   1425.00805       0.1823      -0.0421    1393.75805       0.3403      -0.0519
   1424.99279       0.2000      -0.0231    1393.74279       0.3293      -0.0439
   1424.97753       0.0458      -0.0514    1393.72753       0.3499      -0.0517
   1424.96228       0.1837      -0.0498    1393.71228       0.3605      -0.0761
   1424.94702       0.1164      -0.0621    1393.69702       0.3725      -0.0431
   1424.93176       0.0765      -0.0221    1393.68176       0.2696      -0.0557
   1424.91650       0.1269      -0.0406    1393.66650       0.2435      -0.0845
   1424.90124       0.1606      -0.0455    1393.65124       0.3229      -0.0484
   1424.88598       0.0859      -0.0416    1393.63598       0.2667      -0.0781
   1424.87072       0.1787      -0.0146    1393.62072       0.2137      -0.0510
   1424.85546       0.1297      -0.0197    1393.60546       0.3320      -0.0588
   1424.84021       0.1271      -0.0366    1393.59021       0.2590      -0.0696
   1424.82495       0.1414      -0.0148    1393.57495       0.2488      -0.0717
   1424.80969       0.1018      -0.0330    1393.55969       0.3010      -0.0009
   1424.79443       0.1349      -0.0653    1393.54443       0.3119      -0.0910
   1424.77917       0.0573      -0.0482    1393.52917       0.2825      -0.0255
   1424.76391       0.1189      -0.0584    1393.51391       0.2671      -0.0296
   1424.74865       0.0993      -0.0237    1393.49865       0.1763      -0.0121
   1424.73339       0.1176      -0.0354    1393.48339       0.2066       0.0043
   1424.71813       0.1080      -0.0476    1393.46813       0.2352      -0.0436
   1424.70288       0.1041      -0.0429    1393.45288       0.3990      -0.0280
   1424.68762       0.0900      -0.0429    1393.43762       0.2636      -0.0073
   1424.67236       0.1403      -0.0472    1393.42236       0.2409      -0.0289
   1424.65710       0.1302      -0.0024    1393.40710       0.2742      -0.0589
   1424.64184       0.0782      -0.0206    1393.39184       0.2638      -0.0682
   1424.62658       0.1000      -0.0377    1393.37658       0.2644      -0.0584
   1424.61132       0.1065      -0.0128    1393.36132       0.1989      -0.0698
   1424.59606       0.1248      -0.0418    1393.34606       0.2820      -0.0747
   1424.58081       0.1626      -0.0619    1393.33081       0.3084      -0.0671
   1424.56555       0.1584      -0.0328    1393.31555       0.3203      -0.0466
   1424.55029       0.0928      -0.0652    1393.30029       0.2700      -0.0808
   1424.53503       0.1525      -0.0497    1393.28503       0.3165      -0.0713
   1424.51977       0.1126      -0.0497    1393.26977       0.2141      -0.0686
   1424.50451       0.1171      -0.0860    1393.25451       0.1524      -0.0244
   1424.48925       0.1250      -0.0592    1393.23925       0.2062      -0.0546
   1424.47399       0.1238      -0.0400    1393.22399       0.1904      -0.0127
   1424.45874       0.0856      -0.0279    1393.20874       0.2152      -0.0538
   1424.44348       0.1609      -0.0478    1393.19348       0.2312      -0.0142
   1424.42822       0.1180      -0.0363    1393.17822       0.2267      -0.0038
   1424.41296       0.1551      -0.0229    1393.16296       0.2535      -0.0532
   1424.39770       0.1812      -0.0211    1393.14770       0.3006      -0.0195
   1424.38244       0.1148      -0.0181    1393.13244       0.2776      -0.0622
   1424.36718       0.1176      -0.0305    1393.11718       0.2283      -0.0905
   1424.35192       0.1821      -0.0483    1393.10192       0.1644      -0.0604
   1424.33667       0.1016      -0.0186    1393.08667       0.1894      -0.0359
   1424.32141       0.0999      -0.0801    1393.07141       0.1939      -0.0517
   1424.30615       0.1109      -0.0339    1393.05615       0.2494      -0.0718
   1424.29089       0.0750      -0.0381    1393.04089       0.1014      -0.0689
   1424.27563       0.1753      -0.0618    1393.02563       0.1796      -0.0978
   1424.26037       0.1367      -0.0326    1393.01037       0.2052      -0.0661
   1424.24511       0.0747      -0.0574    1392.99511       0.1940      -0.0553
   1424.22985       0.1338      -0.0793    1392.97985       0.2455      -0.0683
   1424.21459       0.1256      -0.0272    1392.96459       0.1512      -0.0457
   1424.19934       0.1022      -0.0321    1392.94934       0.2887      -0.0306
   1424.18408       0.1746      -0.0084    1392.93408       0.2150      -0.0420
   1424.16882       0.0505      -0.0487    1392.91882       0.1961      -0.0338
   1424.15356       0.1265      -0.0430    1392.90356       0.2126      -0.0070
   1424.13830       0.1069      -0.0349    1392.88830       0.1506      -0.0650
   1424.12304       0.1812      -0.0909    1392.87304       0.1699      -0.0251
   1424.10778       0.1100      -0.0371    1392.85778       0.1375      -0.0259
   1424.09252       0.1771      -0.0122    1392.84252       0.1572      -0.0072
   1424.07727       0.2198      -0.0487    1392.82727       0.1853      -0.0568
   1424.06201       0.1829      -0.0466    1392.81201       0.1640      -0.0781
   1424.04675       0.0609      -0.0432    1392.79675       0.2022      -0.0616
   1424.03149       0.1038      -0.0154    1392.78149       0.2256      -0.0440
   1424.01623       0.1669      -0.0536    1392.76623       0.1952      -0.0376
   1424.00097       0.1635      -0.0865    1392.75097       0.2084      -0.0597
   1423.98571       0.1319      -0.0462    1392.73571       0.2119      -0.0577
   1423.97045       0.1671      -0.0244    1392.72045       0.2418      -0.0487
   1423.95520       0.1400      -0.0244    1392.70520       0.1686      -0.0341
   1423.93994       0.1551      -0.0701    1392.68994       0.1527      -0.0443
   1423.92468       0.1885      -0.0324    1392.67468       0.1950      -0.0536
   1423.90942       0.0668      -0.0543    1392.65942       0.2371      -0.0220
   1423.89416       0.1041      -0.0481    1392.64416       0.2002      -0.0315
   1423.87890       0.1677      -0.0740    1392.62890       0.0974      -0.0754
   1423.86364       0.1254      -0.0593    1392.61364       0.2336      -0.1005
   1423.84838       0.1250      -0.0121    1392.59838       0.1632      -0.0763
   1423.83312       0.1367      -0.0406    1392.58312       0.1925      -0.0444
   1423.81787       0.1316      -0.0210    1392.56787       0.1035      -0.1116
   1423.80261       0.1547      -0.0204    1392.55261       0.2877      -0.0533
   1423.78735       0.2111      -0.0593    1392.53735       0.1699      -0.0113
   1423.77209       0.1578      -0.0432    1392.52209       0.1386      -0.0641
   1423.75683       0.1645      -0.0382    1392.50683       0.1499      -0.0723
   1423.74157       0.1349      -0.0623    1392.49157       0.1892      -0.0412
   1423.72631       0.1304      -0.0632    1392.47631       0.1075      -0.0411
   1423.71105       0.1801      -0.0494    1392.46105       0.1516      -0.0789
   1423.69580       0.1221      -0.0117    1392.44580       0.1591      -0.0675
   1423.68054       0.1191      -0.0123    1392.43054       0.2031      -0.0530
   1423.66528       0.1732       0.0073    1392.41528       0.1608      -0.0699
   1423.65002       0.0959      -0.0444    1392.40002       0.1502      -0.0350
   1423.63476       0.2077      -0.0331    1392.38476       0.1140      -0.0791
   1423.61950       0.1714      -0.0364    1392.36950       0.1461      -0.0576
   1423.60424       0.1503      -0.0157    1392.35424       0.0710      -0.0591
   1423.58898       0.1701      -0.0678    1392.33898       0.0754      -0.0596
   1423.57373       0.0955      -0.0560    1392.32373       0.0286      -0.0181
   1423.55847       0.1783      -0.0582    1392.30847       0.1288      -0.0304
   1423.54321       0.1686      -0.0517    1392.29321       0.2498      -0.0444
   1423.52795       0.1373      -0.0548    1392.27795       0.1747      -0.0072
   1423.51269       0.1288      -0.0467    1392.26269       0.0937      -0.0223
   1423.49743       0.2191      -0.0554    1392.24743       0.2121      -0.0464
   1423.48217       0.1609      -0.0455    1392.23217       0.1766      -0.0079
   1423.46691       0.1603      -0.0130    1392.21691       0.1951      -0.0303
   1423.45166       0.1804      -0.0370    1392.20166       0.1729      -0.0239
   1423.43640       0.1025      -0.0349    1392.18640       0.1451      -0.0261
   1423.42114       0.1652      -0.0193    1392.17114       0.0529      -0.0291
   1423.40588       0.1026      -0.0178    1392.15588       0.0747      -0.0566
   1423.39062       0.0940      -0.0436    1392.14062       0.1934      -0.0579
   1423.37536       0.2139      -0.0375    1392.12536       0.1731      -0.0667
   1423.36010       0.1721      -0.0396    1392.11010       0.1587      -0.0190
   1423.34484       0.0951      -0.0548    1392.09484       0.1085      -0.0799
   1423.32958       0.1567      -0.0307    1392.07958       0.1700      -0.0586
   1423.31433       0.1475      -0.0190    1392.06433       0.1178      -0.0287
   1423.29907       0.1758      -0.0292    1392.04907       0.1016      -0.0117
   1423.28381       0.1284      -0.0188    1392.03381       0.1331      -0.0581
   1423.26855       0.1845      -0.0641    1392.01855       0.1419      -0.0575
   1423.25329       0.1798      -0.0439    1392.00329       0.1030      -0.0709
   1423.23803       0.1761      -0.0269    1391.98803       0.2195      -0.0508
   1423.22277       0.1483      -0.0354    1391.97277       0.1602      -0.0981
   1423.20751       0.1671      -0.0634    1391.95751       0.1102      -0.0504
   1423.19226       0.1196      -0.0645    1391.94226       0.0635      -0.0505
   1423.17700       0.1435      -0.0333    1391.92700       0.1802      -0.0488
   1423.16174       0.1071      -0.0827    1391.91174       0.1188      -0.0835
   1423.14648       0.2015      -0.0502    1391.89648       0.1242      -0.0351
   1423.13122       0.1043      -0.0284    1391.88122       0.1452      -0.0511
   1423.11596       0.1306      -0.0461    1391.86596       0.1788      -0.0195
   1423.10070       0.2106      -0.0369    1391.85070       0.1813      -0.0186
   1423.08544       0.1731      -0.0084    1391.83544       0.1390      -0.0542
   1423.07019       0.2245      -0.0373    1391.82019       0.1441      -0.0280
   1423.05493       0.2488       0.0045    1391.80493       0.1475      -0.0288
   1423.03967       0.1886      -0.0074    1391.78967       0.1219      -0.0360
   1423.02441       0.2669      -0.0620    1391.77441       0.1595      -0.0524
   1423.00915       0.3349      -0.0584    1391.75915       0.1299      -0.0777
   1422.99389       0.3474      -0.0494    1391.74389       0.1122      -0.0688
   1422.97863       0.3856      -0.0410    1391.72863       0.2169      -0.0462
   1422.96337       0.3232      -0.0169    1391.71337       0.1011      -0.0596
   1422.94812       0.4378      -0.0553    1391.69812       0.0971      -0.0176
   1422.93286       0.4658      -0.0675    1391.68286       0.1443      -0.0149
   1422.91760       0.4531       0.0040    1391.66760       0.1466      -0.0464
   1422.90234       0.4356      -0.0405    1391.65234       0.2154      -0.0439
   1422.88708       0.4903       0.0370    1391.63708       0.1996      -0.0464
   1422.87182       0.4244       0.0108    1391.62182       0.2172      -0.0377
   1422.85656       0.5095       0.0089    1391.60656       0.1012      -0.0514
   1422.84130       0.5601      -0.0417    1391.59130       0.2116      -0.0488
   1422.82604       0.5308      -0.0550    1391.57604       0.2073      -0.0666
   1422.81079       0.5770      -0.0243    1391.56079       0.1930      -0.0367
   1422.79553       0.5520      -0.0541    1391.54553       0.1187      -0.1129
   1422.78027       0.5493      -0.0248    1391.53027       0.1209      -0.0771
   1422.76501       0.5681      -0.0270    1391.51501       0.0403      -0.0794
   1422.74975       0.6275      -0.0244    1391.49975       0.1660      -0.0477
   1422.73449       0.5198      -0.0215    1391.48449       0.2062      -0.0149
   1422.71923       0.5607      -0.0481    1391.46923       0.2307      -0.0416
   1422.70397       0.5099      -0.0592    1391.45397       0.1918      -0.0133
   1422.68872       0.5315      -0.0209    1391.43872       0.1585      -0.0460
   1422.67346       0.5589      -0.0508    1391.42346       0.1460      -0.0477
   1422.65820       0.5843      -0.0134    1391.40820       0.1793      -0.0435
   1422.64294       0.5467      -0.0276    1391.39294       0.1666      -0.0484
   1422.62768       0.5853      -0.0280    1391.37768       0.1903      -0.0665
   1422.61242       0.6404      -0.0464    1391.36242       0.2288      -0.0322
   1422.59716       0.5856      -0.0345    1391.34716       0.2022      -0.0831
   1422.58190       0.5792      -0.0402    1391.33190       0.1884      -0.0822
   1422.56665       0.6099      -0.0189    1391.31665       0.2229      -0.0515
   1422.55139       0.6473      -0.0739    1391.30139       0.2206      -0.0237
   1422.53613       0.7155      -0.0635    1391.28613       0.2621      -0.0326
   1422.52087       0.7790      -0.0012    1391.27087       0.1802      -0.0130
   1422.50561       0.8309      -0.0094    1391.25561       0.1364      -0.0441
   1422.49035       0.8387      -0.0325    1391.24035       0.1564      -0.0569
   1422.47509       0.9073      -0.0104    1391.22509       0.1906      -0.0298
   1422.45983       0.8703      -0.0204    1391.20983       0.1896      -0.0488
   1422.44458       0.9090      -0.0370    1391.19458       0.2589      -0.1217
   1422.42932       0.9579      -0.0516    1391.17932       0.1646      -0.0454
   1422.41406       1.0143      -0.0212    1391.16406       0.1656      -0.0489
   1422.39880       1.1247      -0.0128    1391.14880       0.1597      -0.0341
   1422.38354       1.0362      -0.0428    1391.13354       0.1414      -0.0787
   1422.36828       1.1358      -0.0272    1391.11828       0.2004      -0.0217
   1422.35302       1.1606      -0.0684    1391.10302       0.2368      -0.0777
   1422.33776       1.2359      -0.0051    1391.08776       0.1455      -0.0242
   1422.32250       1.2801      -0.0142    1391.07250       0.2191      -0.0778
   1422.30725       1.4616      -0.0466    1391.05725       0.1837      -0.0257
   1422.29199       1.4569      -0.0429    1391.04199       0.1558      -0.1068
   1422.27673       1.5153      -0.0552    1391.02673       0.2482      -0.0576
   1422.26147       1.5746       0.0223    1391.01147       0.1865      -0.0175
   1422.24621       1.5375       0.0041    1390.99621       0.2236      -0.0312
   1422.23095       1.7091      -0.0245    1390.98095       0.1228      -0.0036
   1422.21569       1.6937      -0.0306    1390.96569       0.2003      -0.0485
   1422.20043       1.8458      -0.0164    1390.95043       0.2552      -0.0303
   1422.18518       1.9540      -0.0100    1390.93518       0.2197      -0.0746
   1422.16992       1.9447      -0.0408    1390.91992       0.1636      -0.0661
   1422.15466       2.0565      -0.0133    1390.90466       0.2189      -0.0515
   1422.13940       2.1134      -0.0014    1390.88940       0.2691      -0.0174
   1422.12414       2.2195      -0.0108    1390.87414       0.2374       0.0020
   1422.10888       2.3034      -0.0331    1390.85888       0.2281      -0.0666
   1422.09362       2.3903      -0.0465    1390.84362       0.2554      -0.0308
   1422.07836       2.3253      -0.0528    1390.82836       0.2715      -0.0534
   1422.06311       2.4484      -0.0013    1390.81311       0.1440      -0.0419
   1422.04785       2.4729      -0.0112    1390.79785       0.2653      -0.0410
   1422.03259       2.6033      -0.0261    1390.78259       0.2185      -0.0183
   1422.01733       2.6583      -0.0197    1390.76733       0.2508      -0.0598
   1422.00207       2.8364      -0.0249    1390.75207       0.2459       0.0038
   1421.98681       2.9664      -0.0137    1390.73681       0.2231      -0.0216
   1421.97155       3.0055      -0.0059    1390.72155       0.2289      -0.0488
   1421.95629       3.0981       0.0531    1390.70629       0.2321      -0.0602
   1421.94104       3.2046      -0.0043    1390.69104       0.1891      -0.0463
   1421.92578       3.2704      -0.0224    1390.67578       0.1955      -0.0691
   1421.91052       3.4325      -0.0226    1390.66052       0.2577      -0.0527
   1421.89526       3.5245      -0.0135    1390.64526       0.2665      -0.0612
   1421.88000       3.5127      -0.0160    1390.63000       0.2762      -0.0521
   1421.86474       3.4977      -0.0069    1390.61474       0.2863      -0.0430
   1421.84948       3.5255       0.0129    1390.59948       0.2532      -0.0209
   1421.83422       3.4811      -0.0173    1390.58422       0.2047      -0.0336
   1421.81896       3.4356      -0.0173    1390.56896       0.3421      -0.0017
   1421.80371       3.4546      -0.0263    1390.55371       0.2655      -0.0128
   1421.78845       3.4567      -0.0586    1390.53845       0.2737      -0.0844
   1421.77319       3.4432      -0.0265    1390.52319       0.3009      -0.0556
   1421.75793       3.4115      -0.0349    1390.50793       0.2887      -0.0218
   1421.74267       3.2904      -0.0454    1390.49267       0.2848      -0.1067
   1421.72741       3.3086      -0.0325    1390.47741       0.2413      -0.0848
   1421.71215       3.3566      -0.0257    1390.46215       0.2825      -0.0444
   1421.69689       3.3456      -0.0354    1390.44689       0.2583      -0.0386
   1421.68164       3.3545      -0.0205    1390.43164       0.3199      -0.0825
   1421.66638       3.4539      -0.0185    1390.41638       0.3041      -0.1423
   1421.65112       3.3959      -0.0374    1390.40112       0.3086      -0.0688
   1421.63586       3.3275      -0.0157    1390.38586       0.2600      -0.0617
   1421.62060       3.1785       0.0001    1390.37060       0.3088      -0.1066
   1421.60534       3.0116      -0.0093    1390.35534       0.2324      -0.0412
   1421.59008       2.9309      -0.0423    1390.34008       0.3252      -0.0338
   1421.57482       2.8562      -0.0291    1390.32482       0.2883      -0.0199
   1421.55957       2.7635       0.0027    1390.30957       0.2552      -0.0388
   1421.54431       2.6970      -0.0144    1390.29431       0.2646      -0.0217
   1421.52905       2.4978      -0.0660    1390.27905       0.2876      -0.0117
   1421.51379       2.3928      -0.0241    1390.26379       0.2788      -0.0722
   1421.49853       2.3646      -0.0232    1390.24853       0.2912      -0.0207
   1421.48327       2.2365      -0.0547    1390.23327       0.3236      -0.0559
   1421.46801       2.1593      -0.0464    1390.21801       0.2204      -0.1303
   1421.45275       2.0751      -0.0207    1390.20275       0.3274      -0.0695
   1421.43750       1.9530      -0.0120    1390.18750       0.3132      -0.0710
   1421.42224       1.8338       0.0096    1390.17224       0.2406      -0.0358
   1421.40698       1.8045      -0.0213    1390.15698       0.2617      -0.1007
   1421.39172       1.6764      -0.0459    1390.14172       0.3627      -0.0618
   1421.37646       1.6470      -0.0158    1390.12646       0.2543      -0.0523
   1421.36120       1.6235      -0.0402    1390.11120       0.2931      -0.0420
   1421.34594       1.6014      -0.0264    1390.09594       0.2499      -0.0067
   1421.33068       1.4850      -0.0231    1390.08068       0.2804      -0.0230
   1421.31542       1.4024       0.0062    1390.06542       0.2787      -0.0382
   1421.30017       1.3520      -0.0006    1390.05017       0.3437      -0.0113
   1421.28491       1.3193      -0.0262    1390.03491       0.3220      -0.0733
   1421.26965       1.2826      -0.0289    1390.01965       0.3664      -0.0541
   1421.25439       1.1704      -0.0269    1390.00439       0.3360      -0.1103
   1421.23913       1.1196      -0.0348    1389.98913       0.2985      -0.1036
   1421.22387       1.0789      -0.0319    1389.97387       0.2377      -0.0136
   1421.20861       1.0053      -0.0103    1389.95861       0.2546      -0.0453
   1421.19335       0.9408      -0.0338    1389.94335       0.2865      -0.0448
   1421.17810       0.9119      -0.0131    1389.92810       0.3281      -0.0388
   1421.16284       0.9367      -0.0316    1389.91284       0.3328      -0.0981
   1421.14758       0.8246      -0.0011    1389.89758       0.3736      -0.0303
   1421.13232       0.8338      -0.0109    1389.88232       0.2594       0.0017
   1421.11706       0.7537      -0.0278    1389.86706       0.3136      -0.0024
   1421.10180       0.7795      -0.0339    1389.85180       0.3106      -0.0172
   1421.08654       0.7843      -0.0378    1389.83654       0.3226      -0.0545
   1421.07128       0.7273      -0.0088    1389.82128       0.3128      -0.0461
   1421.05603       0.6972      -0.0307    1389.80603       0.3322      -0.0588
   1421.04077       0.7050      -0.0305    1389.79077       0.3886      -0.0969
   1421.02551       0.6575      -0.0441    1389.77551       0.2918      -0.0845
   1421.01025       0.6746      -0.0136    1389.76025       0.3224      -0.0484
   1420.99499       0.6859      -0.0274    1389.74499       0.2418      -0.0191
   1420.97973       0.6695      -0.0448    1389.72973       0.2407       0.0380
   1420.96447       0.6646      -0.0286    1389.71447       0.2383      -0.0489
   1420.94921       0.7480      -0.0375    1389.69921       0.2911      -0.0803
   1420.93396       0.6271      -0.0407    1389.68396       0.3074      -0.0641
   1420.91870       0.7338      -0.0598    1389.66870       0.3398      -0.0650
   1420.90344       0.6843      -0.0435    1389.65344       0.3242      -0.0086
   1420.88818       0.6858      -0.0279    1389.63818       0.2504      -0.0911
   1420.87292       0.6720      -0.0496    1389.62292       0.3105      -0.1018
   1420.85766       0.7067      -0.0507    1389.60766       0.3506      -0.0661
   1420.84240       0.6332      -0.0180    1389.59240       0.3199      -0.0424
   1420.82714       0.6662      -0.0227    1389.57714       0.3759      -0.0600
   1420.81188       0.7122      -0.0372    1389.56188       0.2310      -0.0902
   1420.79663       0.5884      -0.0052    1389.54663       0.2854      -0.0586
   1420.78137       0.5953      -0.0183    1389.53137       0.2753      -0.0441
   1420.76611       0.5093      -0.0203    1389.51611       0.3830      -0.0661
   1420.75085       0.5408      -0.0315    1389.50085       0.2528      -0.1061
   1420.73559       0.5046      -0.0108    1389.48559       0.2856      -0.0379
   1420.72033       0.4684       0.0065    1389.47033       0.3231      -0.0187
   1420.70507       0.2443      -0.0212    1389.45507       0.2950      -0.1000
   1420.68981      -0.0929      -0.0395    1389.43981       0.2993      -0.1000
   1420.67456      -0.4237      -0.0456    1389.42456       0.2853      -0.0587
   1420.65930      -0.2711       0.0008    1389.40930       0.3349      -0.0138
   1420.64404      -0.0714       0.0180    1389.39404       0.2652      -0.0723
   1420.62878       0.2339      -0.0454    1389.37878       0.3295      -0.0825
   1420.61352       0.6480      -0.0444    1389.36352       0.3922      -0.0503
   1420.59826       1.1130      -0.0579    1389.34826       0.2673      -0.0774
   1420.58300       1.8435      -0.0211    1389.33300       0.3092      -0.0269
   1420.56774       2.6576      -0.0047    1389.31774       0.3153      -0.0394
   1420.55249       2.3298      -0.0173    1389.30249       0.2832      -0.0362
   1420.53723       1.9525      -0.0396    1389.28723       0.2794      -0.0701
   1420.52197       1.5888      -0.0272    1389.27197       0.2721      -0.0138
   1420.50671       1.4325      -0.0491    1389.25671       0.3427      -0.0535
   1420.49145       1.5727      -0.0469    1389.24145       0.3076      -0.0227
   1420.47619       0.6082      -0.0318    1389.22619       0.3127      -0.0540
   1420.46093       0.4605      -0.0371    1389.21093       0.2946      -0.0231
   1420.44567       0.2564      -0.0340    1389.19567       0.4041      -0.0334
   1420.43042       0.5764      -0.0540    1389.18042       0.3707      -0.0752
   1420.41516       0.5908      -0.0250    1389.16516       0.2424       0.0020
   1420.39990       0.6198      -0.0172    1389.14990       0.3392      -0.0759
   1420.38464       4.6525       0.0055    1389.13464       0.3004      -0.0155
   1420.36938       5.8809       0.0149    1389.11938       0.3229      -0.0601
   1420.35412      -0.4714      -0.0345    1389.10412       0.2959       0.0055
   1420.33886      -0.5130      -0.0225    1389.08886       0.3254      -0.0906
   1420.32360       0.2826      -0.0386    1389.07360       0.3324      -0.0776
   1420.30834       0.2766      -0.0458    1389.05834       0.3008      -0.0346
   1420.29309       0.1328      -0.0013    1389.04309       0.3213      -0.0596
   1420.27783       0.1782       0.0197    1389.02783       0.2626      -0.0770
   1420.26257       0.1938      -0.0522    1389.01257       0.3520      -0.0267
   1420.24731       0.2134      -0.0443    1388.99731       0.3763      -0.0953
   1420.23205       0.2389      -0.0156    1388.98205       0.2915      -0.0733
   1420.21679       0.2566      -0.0159    1388.96679       0.3644      -0.0437
   1420.20153       0.1992      -0.0558    1388.95153       0.3588      -0.0789
   1420.18627       0.2286      -0.0396    1388.93627       0.3750      -0.0484
   1420.17102       0.2375      -0.0180    1388.92102       0.3732      -0.0716
   1420.15576       0.1859      -0.0297    1388.90576       0.3455      -0.0330
   1420.14050       0.2014      -0.0531    1388.89050       0.3195      -0.0690
   1420.12524       0.1758      -0.0523    1388.87524       0.3928      -0.0211
   1420.10998       0.1928      -0.0432    1388.85998       0.3123      -0.0349
   1420.09472       0.1304      -0.0319    1388.84472       0.3666      -0.0706
   1420.07946       0.2177      -0.0098    1388.82946       0.3236      -0.0793
   1420.06420       0.1523      -0.0308    1388.81420       0.3070      -0.0122
   1420.04895       0.1679      -0.0222    1388.79895       0.2967      -0.0200
   1420.03369       0.2318      -0.0231    1388.78369       0.3157      -0.0593
   1420.01843       0.1645      -0.0065    1388.76843       0.2954      -0.0236
   1420.00317       0.2607      -0.0407    1388.75317       0.3366      -0.0945
   1419.98791       0.1686      -0.0125    1388.73791       0.2918      -0.0478
   1419.97265       0.1726      -0.0196    1388.72265       0.3063      -0.0560
   1419.95739       0.2386      -0.0115    1388.70739       0.3761      -0.0352
   1419.94213       0.2010      -0.0214    1388.69213       0.2873      -0.0432
   1419.92687       0.2091      -0.0271    1388.67687       0.3312      -0.0934
   1419.91162       0.1880      -0.0316    1388.66162       0.2552      -0.0313
   1419.89636       0.2304      -0.0203    1388.64636       0.3018      -0.0519
   1419.88110       0.1717      -0.0237    1388.63110       0.3158      -0.0744
   1419.86584       0.1702      -0.0354    1388.61584       0.3218      -0.0312
   1419.85058       0.2066      -0.0267    1388.60058       0.3433      -0.0443
   1419.83532       0.2468      -0.0216    1388.58532       0.3477      -0.0031
   1419.82006       0.1947      -0.0233    1388.57006       0.3021       0.0062
   1419.80480       0.1606       0.0119    1388.55480       0.3531      -0.0347
   1419.78955       0.1296      -0.0530    1388.53955       0.3478      -0.0567
   1419.77429       0.1553      -0.0534    1388.52429       0.3644      -0.0551
   1419.75903       0.1954      -0.0620    1388.50903       0.3201      -0.0529
   1419.74377       0.1842      -0.0289    1388.49377       0.2976      -0.0593
   1419.72851       0.2481      -0.0378    1388.47851       0.2991       0.0123
   1419.71325       0.1504      -0.0497    1388.46325       0.3555      -0.0563
   1419.69799       0.2108      -0.0328    1388.44799       0.3473      -0.0774
   1419.68273       0.1854      -0.0508    1388.43273       0.2425      -0.0232
   1419.66748       0.1397      -0.0485    1388.41748       0.2898      -0.0553
   1419.65222       0.1528      -0.0047    1388.40222       0.3250      -0.0687
   1419.63696       0.1673      -0.0291    1388.38696       0.2856       0.0008
   1419.62170       0.2190      -0.0406    1388.37170       0.2990      -0.0059
   1419.60644       0.1476      -0.0413    1388.35644       0.3163      -0.0621
   1419.59118       0.1181      -0.0135    1388.34118       0.3221      -0.0612
   1419.57592       0.1028      -0.0403    1388.32592       0.2930      -0.0345
   1419.56066       0.1427      -0.0060    1388.31066       0.3257      -0.0689
   1419.54541       0.1905      -0.0296    1388.29541       0.3453      -0.0502
   1419.53015       0.1608      -0.0104    1388.28015       0.2796      -0.0284
   1419.51489       0.1091      -0.0508    1388.26489       0.2944      -0.0089
   1419.49963       0.1317       0.0014    1388.24963       0.3252      -0.0163
   1419.48437       0.1674      -0.0501    1388.23437       0.3605      -0.0363
   1419.46911       0.1843      -0.0049    1388.21911       0.3455      -0.0484
   1419.45385       0.0983      -0.0472    1388.20385       0.3375      -0.0504
   1419.43859       0.1318      -0.0293    1388.18859       0.3619      -0.0714
   1419.42333       0.1584      -0.0488    1388.17333       0.2889      -0.0127
   1419.40808       0.2426      -0.0384    1388.15808       0.2846      -0.1008
   1419.39282       0.1166      -0.0435    1388.14282       0.3224      -0.0424
