#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.90722       0.2334      -0.0084    1396.65722       0.1373      -0.0932
   1427.89196       0.2455      -0.0171    1396.64196       0.0442      -0.0471
   1427.87670       0.1834      -0.0329    1396.62670       0.0733      -0.0066
   1427.86145       0.1334      -0.0475    1396.61145       0.0993      -0.0783
   1427.84619       0.2955      -0.0874    1396.59619       0.1230      -0.0354
   1427.83093       0.2031      -0.0145    1396.58093       0.1893      -0.0653
   1427.81567       0.2209      -0.0486    1396.56567       0.1049      -0.0621
   1427.80041       0.1639      -0.0127    1396.55041       0.0608      -0.0467
   1427.78515       0.1573      -0.0366    1396.53515       0.0585      -0.1079
   1427.76989       0.1892      -0.0502    1396.51989       0.0204      -0.0824
   1427.75463       0.2011      -0.0236    1396.50463       0.0921      -0.0259
   1427.73937       0.2659      -0.0495    1396.48937       0.1697      -0.0417
   1427.72412       0.1960      -0.0823    1396.47412       0.0815      -0.0595
   1427.70886       0.2299      -0.0222    1396.45886       0.0511      -0.0403
   1427.69360       0.2430      -0.0158    1396.44360       0.1205      -0.0592
   1427.67834       0.2948      -0.0508    1396.42834       0.1555      -0.0625
   1427.66308       0.2975      -0.0850    1396.41308       0.2249      -0.0129
   1427.64782       0.1606      -0.0484    1396.39782       0.1245      -0.0395
   1427.63256       0.1238       0.0249    1396.38256       0.1017      -0.0241
   1427.61730       0.2493      -0.0139    1396.36730       0.1041      -0.0130
   1427.60205       0.2092      -0.0116    1396.35205       0.1339      -0.0723
   1427.58679       0.2462      -0.0639    1396.33679       0.0995      -0.0704
   1427.57153       0.2787      -0.0484    1396.32153       0.1581      -0.0327
   1427.55627       0.1937       0.0224    1396.30627       0.0911      -0.1077
   1427.54101       0.2719      -0.0468    1396.29101       0.1527      -0.0319
   1427.52575       0.2227      -0.0394    1396.27575       0.1305      -0.0323
   1427.51049       0.1491      -0.0461    1396.26049       0.0854      -0.0169
   1427.49523       0.2327      -0.0312    1396.24523       0.1498      -0.0803
   1427.47998       0.1816      -0.0554    1396.22998       0.1263      -0.0676
   1427.46472       0.1782      -0.0431    1396.21472       0.1182      -0.0490
   1427.44946       0.1670      -0.0317    1396.19946       0.1603      -0.0219
   1427.43420       0.3018      -0.0206    1396.18420       0.1256      -0.0765
   1427.41894       0.2511      -0.0369    1396.16894       0.1157      -0.0177
   1427.40368       0.2356      -0.0688    1396.15368       0.0971      -0.0264
   1427.38842       0.2443      -0.0286    1396.13842       0.1868      -0.0320
   1427.37316       0.1667      -0.0319    1396.12316       0.1332       0.0160
   1427.35791       0.2505      -0.0491    1396.10791       0.1458      -0.0230
   1427.34265       0.2449      -0.0190    1396.09265       0.1536      -0.0774
   1427.32739       0.2092      -0.0253    1396.07739       0.1568      -0.0510
   1427.31213       0.1879      -0.0387    1396.06213       0.1454      -0.0579
   1427.29687       0.2877      -0.0323    1396.04687       0.2357      -0.0879
   1427.28161       0.2413      -0.0348    1396.03161       0.0605      -0.0189
   1427.26635       0.2455      -0.0401    1396.01635       0.1695      -0.0282
   1427.25109       0.2643      -0.0104    1396.00109       0.2108      -0.0470
   1427.23583       0.1675      -0.0349    1395.98583       0.2771      -0.0821
   1427.22058       0.1377      -0.0165    1395.97058       0.1261      -0.0244
   1427.20532       0.1991      -0.0573    1395.95532       0.2181      -0.0884
   1427.19006       0.2594       0.0373    1395.94006       0.1691      -0.0357
   1427.17480       0.1731      -0.0325    1395.92480       0.1538      -0.0405
   1427.15954       0.1912       0.0104    1395.90954       0.2518      -0.0169
   1427.14428       0.2071      -0.0348    1395.89428       0.1661      -0.0864
   1427.12902       0.2358      -0.0374    1395.87902       0.2180      -0.0408
   1427.11376       0.2421      -0.0234    1395.86376       0.2267      -0.0691
   1427.09851       0.1749      -0.0053    1395.84851       0.1505      -0.0603
   1427.08325       0.2522      -0.0525    1395.83325       0.1357      -0.0131
   1427.06799       0.2538      -0.0366    1395.81799       0.2350      -0.0375
   1427.05273       0.1073      -0.0202    1395.80273       0.1609      -0.0309
   1427.03747       0.1963      -0.0261    1395.78747       0.2818      -0.0478
   1427.02221       0.2128      -0.0406    1395.77221       0.2331      -0.0431
   1427.00695       0.3325      -0.0664    1395.75695       0.2181      -0.0102
   1426.99169       0.1238      -0.0330    1395.74169       0.1821      -0.0360
   1426.97644       0.1807      -0.0406    1395.72644       0.2281      -0.0402
   1426.96118       0.1930      -0.0425    1395.71118       0.2508      -0.0181
   1426.94592       0.2107      -0.0609    1395.69592       0.2793      -0.0479
   1426.93066       0.2356      -0.0779    1395.68066       0.2173      -0.0501
   1426.91540       0.1993      -0.0244    1395.66540       0.1824      -0.0297
   1426.90014       0.2318      -0.0203    1395.65014       0.2497      -0.0396
   1426.88488       0.2100      -0.0348    1395.63488       0.2491      -0.0131
   1426.86962       0.2325      -0.0067    1395.61962       0.1704      -0.0700
   1426.85437       0.1518      -0.0359    1395.60437       0.2283      -0.0421
   1426.83911       0.2061      -0.0295    1395.58911       0.2788      -0.0458
   1426.82385       0.2656      -0.0610    1395.57385       0.2894      -0.0308
   1426.80859       0.2151      -0.0225    1395.55859       0.1939      -0.0096
   1426.79333       0.1783      -0.0387    1395.54333       0.2424      -0.0582
   1426.77807       0.2213      -0.0207    1395.52807       0.2391      -0.0819
   1426.76281       0.2372      -0.0592    1395.51281       0.2034      -0.0238
   1426.74755       0.1802      -0.0239    1395.49755       0.2478      -0.0624
   1426.73229       0.2083      -0.0479    1395.48229       0.2618      -0.0002
   1426.71704       0.2294      -0.0546    1395.46704       0.2440      -0.0381
   1426.70178       0.2043      -0.0243    1395.45178       0.2634      -0.0343
   1426.68652       0.2104      -0.0378    1395.43652       0.2998      -0.0382
   1426.67126       0.1923      -0.0879    1395.42126       0.2853      -0.0191
   1426.65600       0.0900      -0.0591    1395.40600       0.3252      -0.0791
   1426.64074       0.2327      -0.0267    1395.39074       0.2903      -0.1016
   1426.62548       1.6183      -0.0325    1395.37548       0.3314      -0.0729
   1426.61022       0.1470      -0.0464    1395.36022       0.3018      -0.0623
   1426.59497       0.1148      -0.0405    1395.34497       0.2739      -0.0741
   1426.57971       0.1342       0.0039    1395.32971       0.3174      -0.0958
   1426.56445       0.2233      -0.0322    1395.31445       0.3595      -0.0612
